Name,ACCT101,CHEM101,FIN101,BUSLAW101,CHEM201,ASTR101,ECON102,MKTG101,PSY301,BIO201
Betty,False,False,False,False,False,True,False,True,True,False
Pam,False,True,False,False,False,False,True,False,True,False
Francisco,False,True,True,False,False,False,False,False,False,True
Andre,True,False,True,False,False,False,True,False,False,False
Antonio,True,False,False,True,True,False,False,False,False,False
Olivia,True,False,False,False,False,True,False,False,False,True
Myron,False,True,False,False,False,True,False,False,False,True
Myrna,False,True,False,False,True,False,True,False,False,False
Valerie,False,True,False,False,False,False,True,True,False,False
Ray,False,False,False,True,False,True,False,True,False,False
Abby,False,True,False,False,False,True,False,False,False,True
Evelyn,False,False,True,False,True,True,False,False,False,False
Karina,False,False,False,False,False,False,True,True,True,False
Emma,False,False,False,True,False,False,False,True,True,False
Blaine,False,True,False,False,True,False,False,True,False,False
Kris,False,False,False,False,False,True,False,False,True,True
Emma,False,False,False,True,False,False,True,True,False,False
Weston,True,False,True,False,False,False,True,False,False,False
Blake,True,False,False,False,False,False,True,True,False,False
Jamaal,True,False,False,False,True,True,False,False,False,False
