Name,ACCT101,CS101,PHIL102,BIO301,CW101,PSY102,BUSLAW101,CALC101,MATH201,MUS101
Virginia,False,False,False,True,False,True,True,False,False,False
Karen,False,False,False,True,True,False,True,False,False,False
Eldon,False,False,False,True,False,False,True,False,True,False
Ebony,False,False,False,False,False,True,False,True,False,True
Lorraine,False,True,False,False,False,True,False,False,True,False
Marsha,True,False,False,False,True,False,False,False,False,True
Janis,False,False,False,False,False,False,False,True,True,True
Nellie,True,False,True,False,False,False,False,False,False,True
Sara,False,True,False,False,True,False,False,True,False,False
Suzanne,True,False,False,False,False,True,False,True,False,False
Connie,False,False,False,False,True,False,True,False,True,False
Margie,False,False,False,True,False,False,False,True,True,False
Christian,True,False,True,False,False,False,False,False,False,True
Mark,True,False,False,False,True,False,False,True,False,False
Owen,True,False,True,False,False,False,False,True,False,False
Vaughn,False,False,True,True,False,False,False,True,False,False
Curtis,False,True,False,False,False,True,False,False,False,True
Clinton,False,False,True,False,False,False,False,False,True,True
Benjamin,False,False,True,False,False,True,False,True,False,False
Angie,False,False,True,True,False,False,False,True,False,False
