Name,CHEM101,PSY201,NUTR101,LIT201,GEO101,MKTG101,ENV201,BIO201,BIO301,FIN101
Jonathan,True,False,False,False,False,True,False,True,True,True
Reba,True,True,False,True,False,False,False,False,True,True
Enrique,False,True,True,False,True,False,False,True,True,False
Sandy,True,False,True,False,False,False,True,True,True,False
Audra,False,True,True,True,False,True,False,False,True,False
Elias,False,False,False,True,True,False,True,False,True,True
Al,True,True,False,False,False,True,False,False,True,True
Kaitlin,True,False,False,False,True,True,False,False,True,True
Yvette,True,False,True,False,False,False,False,True,True,True
Greg,False,True,True,True,True,False,False,True,False,False
Hattie,False,True,True,True,False,False,True,True,False,False
Gilberto,True,False,False,False,True,True,True,True,False,False
Dexter,False,True,True,False,True,False,False,True,False,True
Anna,False,False,False,False,True,True,True,True,True,False
Alfonso,True,True,False,False,True,False,True,True,False,False
Daphne,False,True,False,True,False,True,True,False,False,True
Tara,True,True,False,True,False,False,True,False,True,False
Solomon,True,False,False,True,True,True,True,False,False,False
Shannon,True,False,True,False,False,True,False,True,False,True
Cesar,False,False,False,True,True,False,True,False,True,True
